Conjunto;1NN;1D-CNN;2D-CNN;MP
Adiac;0.731;0.652;0.652;0.826
Beef;0.833;0.766;0.966;0.866
Car;0.733;0.816;0.801;0.733
CBF;0.933;0.982;0.945;0.995
Coffee;1.0;1.0;1.0;1.0
DiatomSizeReduction;0.937;0.915;0.925;0.945
ECG200;0.89;0.889;0.879;0.93
ECGFiveDays;0.994;0.895;0.994;0.994
FaceFour;0.886;0.852;0.832;0.852
GunPoint;0.967;0.913;0.913;1.0
Lightning2;0.803;0.754;0.712;0.836
Lightning7;0.684;0.712;0.712;0.776
MedicalImages;0.7;0.686;0.715;0.765
MoteStrain;0.882;0.853;0.853;0.898
OliveOil;0.866;0.93;0.933;0.933
SonyAIBORobotSurface1;0.722;0.838;0.956;0.956
SonyAIBORobotSurface2;0.878;0.93;0.828;0.865
SyntheticControl;0.983;0.996;0.996;1.0
Trace;0.84;0.99;0.879;0.99
TwoPatterns;0.951;0.981;0.988;0.997
