,Dataset Name,Accuracy
0,FaceAll,0.6278106508875739
1,Earthquakes,0.7410071942446043
2,OliveOil,0.8333333333333334
3,UMD,0.9722222222222222
4,FaceFour,0.6590909090909091
5,EOGHorizontalSignal,0.44751381215469616
6,InsectEPGSmallTrain,1.0
7,SemgHandGenderCh2,0.905
8,ElectricDevices,0.6966670989495526
9,Meat,0.9
10,RefrigerationDevices,0.536
11,MedicalImages,0.7078947368421052
12,InsectEPGRegularTrain,1.0
13,NonInvasiveFetalECGThorax1,0.7862595419847328
14,ProximalPhalanxOutlineCorrect,0.852233676975945
15,Strawberry,0.918918918918919
16,CinCECGTorso,0.7297101449275363
17,Mallat,0.7936034115138593
18,Phoneme,0.21255274261603377
19,SyntheticControl,0.8833333333333333
20,Computers,0.808
21,UWaveGestureLibraryY,0.5714684533780011
22,FordA,0.793939393939394
23,CricketZ,0.5564102564102564
24,FordB,0.6296296296296297
25,ECGFiveDays,0.759581881533101
26,Plane,1.0
27,TwoPatterns,0.55075
28,BeetleFly,0.95
29,UWaveGestureLibraryZ,0.5935231714126187
30,HouseTwenty,0.8739495798319328
31,UWaveGestureLibraryAll,0.5843104410943607
32,CricketX,0.5461538461538461
33,Rock,0.5
34,Yoga,0.781
35,NonInvasiveFetalECGThorax2,0.838676844783715
36,FreezerSmallTrain,0.8473684210526315
37,GunPointMaleVersusFemale,0.9968354430379747
38,FacesUCR,0.6204878048780488
39,ToeSegmentation1,0.7675438596491229
40,LargeKitchenAppliances,0.7733333333333333
41,PigAirwayPressure,0.6538461538461539
42,DiatomSizeReduction,0.9215686274509803
43,HandOutlines,0.7810810810810811
44,SmoothSubspace,0.9466666666666667
45,ECG5000,0.9257777777777778
46,Trace,1.0
47,ShapesAll,0.7566666666666667
48,SemgHandSubjectCh2,0.8044444444444444
49,BirdChicken,0.9
50,ACSF1,0.88
51,Wafer,0.9902660609993511
52,SemgHandMovementCh2,0.7044444444444444
53,SwedishLeaf,0.8928
54,OSULeaf,0.7148760330578512
55,InsectWingbeatSound,0.2580808080808081
56,InlineSkate,0.39636363636363636
57,PigCVP,0.6153846153846154
58,Chinatown,0.8629737609329446
59,Worms,0.7792207792207793
60,PowerCons,0.9388888888888889
61,ProximalPhalanxOutlineAgeGroup,0.8292682926829268
62,EthanolLevel,0.298
63,Car,0.7
64,Wine,0.5370370370370371
65,SmallKitchenAppliances,0.7973333333333333
66,Herring,0.578125
67,Symbols,0.8331658291457287
68,CricketY,0.49743589743589745
69,TwoLeadECG,0.8173836698858647
70,GunPoint,0.9333333333333333
71,MiddlePhalanxTW,0.5584415584415584
72,Coffee,1.0
73,DistalPhalanxOutlineAgeGroup,0.7338129496402878
74,ShapeletSim,0.9166666666666666
75,Beef,0.7333333333333333
76,Haptics,0.4383116883116883
77,MixedShapesSmallTrain,0.805360824742268
78,Crop,0.6724404761904762
79,ToeSegmentation2,0.7076923076923077
80,GunPointOldVersusYoung,1.0
81,ArrowHead,0.72
82,DistalPhalanxTW,0.60431654676259
83,ScreenType,0.5146666666666667
84,DistalPhalanxOutlineCorrect,0.7427536231884058
85,Ham,0.5523809523809524
86,Lightning7,0.5616438356164384
87,SonyAIBORobotSurface1,0.891846921797005
88,ItalyPowerDemand,0.8668610301263362
89,MoteStrain,0.7987220447284346
90,ProximalPhalanxTW,0.7853658536585366
91,CBF,0.65
92,MiddlePhalanxOutlineAgeGroup,0.6038961038961039
93,ECG200,0.79
94,MixedShapesRegularTrain,0.8494845360824742
95,ChlorineConcentration,0.6364583333333333
96,Lightning2,0.7540983606557377
97,WordSynonyms,0.40282131661442006
98,SonyAIBORobotSurface2,0.887722980062959
99,UWaveGestureLibraryX,0.5787269681742043
100,FreezerRegularTrain,0.9708771929824561
101,StarLightCurves,0.96369596891695
102,PigArtPressure,0.8557692307692307
103,Adiac,0.7263427109974424
104,GunPointAgeSpan,0.9841772151898734
105,EOGVerticalSignal,0.3729281767955801
106,BME,0.68
107,FiftyWords,0.46593406593406594
108,MiddlePhalanxOutlineCorrect,0.7835051546391752
109,Fish,0.6971428571428572
110,PhalangesOutlinesCorrect,0.7762237762237763
111,WormsTwoClass,0.8701298701298701
