Dataset Name,Accuracy
Adiac,0.6521739130434783
Beef,0.6666666666666666
Car,0.75
CBF,1.0
Coffee,1.0
DiatomSizeReduction,0.9705882352941176
ECG200,0.81
ECGFiveDays,0.8373983739837398
FaceFour,0.875
GunPoint,0.9666666666666667
Lightning2,0.8360655737704918
Lightning7,0.7808219178082192
MedicalImages,0.7486842105263158
MoteStrain,0.8434504792332268
OliveOil,0.8666666666666667
SonyAIBORobotSurface1,0.7437603993344426
SonyAIBORobotSurface2,0.8688352570828961
SyntheticControl,0.9933333333333333
Trace,1.0
TwoPatterns,1.0
